REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT
1628,2006,SE Pacific,Indo-Pacific,6.3,55.6,-1.57111,-151.74786,-16.53528
1629,2006,SE Pacific,Indo-Pacific,6.9,16.9,-0.04586,-151.75733,-16.49903
1630,2006,SE Pacific,Indo-Pacific,3.1,6.3,0.19196,-151.76419,-16.50692
1631,2003,SE Pacific,Indo-Pacific,1.3,10.6,-0.06326,-151.77222,-16.55619
1637,2006,SE Pacific,Indo-Pacific,16.3,15.6,0.43371,-151.72819,-16.52967
1638,2006,SE Pacific,Indo-Pacific,10.6,6.9,0.51285,-151.77228,-16.52953
1639,2003,GBR,GBR,6.9,2.5,0.5093,152.49103,-24.88278
1640,2004,GBR,GBR,36.6,20.3,1.18714,145.98333,-16.46139
1641,2003,GBR,GBR,23.8,33.1,0.1029,145.69067,-14.66336
1643,2003,GBR,GBR,13.1,16.3,0.26581,145.99028,-16.52942
1644,2005,GBR,GBR,1.3,35,-1.00461,145.99517,-16.46139
1645,2003,GBR,GBR,17.5,11.9,0.63603,146.01531,-16.52942
1646,2003,GBR,GBR,41.3,19.4,1.43899,146.1995,-16.93814
1647,2003,GBR,GBR,36.3,33.1,0.67795,145.84867,-16.006
1651,2004,SW Pacific,Indo-Pacific,6.9,28.1,-0.48032,179.10461,-16.23011
1666,2005,Philippines_Spra,Indo-Pacific,0.6,12.5,-0.16442,124.10708,10.99072
1667,2005,Philippines_Spra,Indo-Pacific,1.3,10,-0.03912,124.10656,10.98533
1668,2005,Philippines_Spra,Indo-Pacific,3.1,5.6,0.2161,124.10697,10.99161
1669,2005,Philippines_Spra,Indo-Pacific,11.9,13.8,0.30485,124.10431,10.98617
1670,2002,Philippines_Spra,Indo-Pacific,8.8,47.5,-1.14232,124.02139,10.40222
1672,2004,Western Pacific,Indo-Pacific,30,21.9,0.82489,145.69689,15.16153
1676,2003,Western Pacific,Indo-Pacific,20.6,52.5,-0.78911,145.73808,15.10461
1677,2001,Western Pacific,Indo-Pacific,10,50.9,-1.21757,145.73694,15.10194
1679,2005,Philippines_Spra,Indo-Pacific,4.4,56.9,-1.70564,122.38086,9.87431
1680,2005,Philippines_Spra,Indo-Pacific,7.5,38.1,-0.83777,122.37403,9.867
1681,2003,Philippines_Spra,Indo-Pacific,24.4,68.1,-1.22003,123.27242,9.07117
1682,2005,Philippines_Spra,Indo-Pacific,16.3,18.1,0.33716,123.81671,10.98992
1683,2006,Philippines_Spra,Indo-Pacific,3.8,44.4,-1.25165,123.82408,9.57461
1685,2004,South China Sea,Indo-Pacific,3.1,18.1,-0.26665,114.60506,22.52414
1686,2004,Western Pacific,Indo-Pacific,34.4,37.5,0.42273,144.83361,13.59472
1687,2004,Western Pacific,Indo-Pacific,22.5,15,0.74537,144.25222,13.59556
1689,2002,GBR,GBR,28.8,15,1.0329,145.99528,-16.42122
1690,2001,Hawaiian Islands,Indo-Pacific,1.9,21.3,-0.44484,-158.04333,21.67167
1691,2001,SW Pacific,Indo-Pacific,15.6,16.3,0.38082,177.43011,-18.15928
1694,2006,SW Pacific,Indo-Pacific,0.6,25,-0.64717,179.94417,-16.7645
1699,2002,GBR,GBR,4.1,3.1,0.35577,145.94787,-16.67148
1700,2002,GBR,GBR,14.4,18.8,0.22676,145.962,-16.67727
1701,2002,GBR,GBR,14.4,15,0.37159,145.97,-16.605
1702,2002,GBR,GBR,36.9,30.9,0.79118,146.07531,-17.20372
1708,2002,SE Pacific,Indo-Pacific,1.9,17.5,-0.30001,-174.42136,-19.83783
1709,2002,Western Pacific,Indo-Pacific,25.6,59.1,-0.81253,142.18481,26.65417
1712,2004,Hawaiian Islands,Indo-Pacific,1.3,30,-0.81151,-158.03164,21.6825
1713,2004,Hawaiian Islands,Indo-Pacific,0.6,28.1,-0.76785,-158.11128,21.59333
1716,2003,GBR,GBR,10,60,-1.56755,148.8785,-20.04617
1717,2004,Taiwan_Japan,Indo-Pacific,17.8,26.6,0.08319,125.29117,24.92311
1718,2003,Taiwan_Japan,Indo-Pacific,20.9,24.7,0.29936,125.27042,24.99842
1720,2005,Hawaiian Islands,Indo-Pacific,69.4,0.6,3.45697,-157.79756,21.25653
1721,2001,E Indonesia_PNG,Indo-Pacific,25,29.4,0.30523,123.75297,-5.45947
1722,2003,E Indonesia_PNG,Indo-Pacific,16.9,20,0.2935,123.75278,-5.46111
1723,2003,E Indonesia_PNG,Indo-Pacific,1.9,11.3,-0.05864,123.75639,-5.44278
1726,2001,E Indonesia_PNG,Indo-Pacific,11.9,25.6,-0.15375,123.75231,-5.44275
1727,2004,South China Sea,Indo-Pacific,9.4,68.1,-1.91009,114.26519,22.53811
1728,2004,South China Sea,Indo-Pacific,10,50.6,-1.2055,114.29287,22.16252
1729,2004,South China Sea,Indo-Pacific,0.6,32.5,-0.93681,114.29417,22.38508
1730,2004,South China Sea,Indo-Pacific,2.5,37.5,-1.04365,114.29536,22.35439
1731,2001,South China Sea,Indo-Pacific,13.1,57.5,-1.32724,114.30267,22.551
1733,2004,South China Sea,Indo-Pacific,51.9,68.1,0.04509,114.31236,22.53369
1734,2004,South China Sea,Indo-Pacific,13.8,47.5,-0.9123,114.33083,22.46639
1735,2002,South China Sea,Indo-Pacific,8.1,60,-1.65381,114.327,22.50667
1736,2004,South China Sea,Indo-Pacific,0.6,36.9,-1.10577,114.333,22.48033
1737,2003,South China Sea,Indo-Pacific,17.5,45.6,-0.66737,114.33589,22.35914
1739,2004,South China Sea,Indo-Pacific,0.6,71.9,-2.45745,114.3565,22.50167
1740,2004,South China Sea,Indo-Pacific,18.8,17.5,0.47631,114.36547,22.35275
1741,2003,South China Sea,Indo-Pacific,0.6,50.6,-1.63679,114.36447,22.33794
1742,2004,South China Sea,Indo-Pacific,3.8,18.1,-0.23789,114.38464,22.36964
1744,2003,South China Sea,Indo-Pacific,27.5,63.1,-0.88317,114.43106,22.54614
1745,2004,South China Sea,Indo-Pacific,13.1,68.8,-1.76171,114.43972,22.54264
1746,2004,South China Sea,Indo-Pacific,0.6,51.3,-1.66092,114.27928,22.51444
1749,2004,South China Sea,Indo-Pacific,0.6,67.5,-2.28849,114.29583,22.36458
1750,2004,South China Sea,Indo-Pacific,4.4,60,-1.82633,114.355,22.325
1751,2004,South China Sea,Indo-Pacific,12.5,14.4,0.30947,114.2975,22.35583
1754,2002,Philippines_Spra,Indo-Pacific,26.9,58.8,-0.74296,123.96806,10.10692
1756,2004,Taiwan_Japan,Indo-Pacific,0.6,21.3,-0.50234,123.71531,24.35464
1757,2004,Taiwan_Japan,Indo-Pacific,4.4,69.1,-2.17631,123.73328,24.28189
1758,2004,Taiwan_Japan,Indo-Pacific,3.8,45.6,-1.29993,124.17336,24.32214
1759,2006,Taiwan_Japan,Indo-Pacific,24.4,33.8,0.10752,139.48361,34.0525
1760,1998,Taiwan_Japan,Indo-Pacific,11.9,66.3,-1.72267,139.48861,34.09417
1761,2004,Hawaiian Islands,Indo-Pacific,4.4,39.4,-1.0298,-156.611,20.93517
